institution,institution_type,statut,titre,description,type,pays,regions_ciblees,date_limite_candidature,date_debut,duree,remuneration,nombre_places,secteurs,criteres_eligibilite,contact_email_enrichi,lien_externe,origine_initiative
Fondation Jeunesse Numérique,INCUBATEUR_ACCELERATEUR,Ouvert,Programme FJN Incubation,Incubation et accélération projets numériques,INCUBATION,Côte d'Ivoire,National,Via appels à projets,Variable,6 mois + 6 mois,Petits tickets équipements,Non spécifié,NUMERIQUE;IMPACT_SOCIAL,"Composante numérique forte, innovation, impact social",infos@fjn.ci,https://fjn.ci,PUBLIC
H-FAB,INCUBATEUR_ACCELERATEUR,Ouvert,Programmes H-FABLAB,Fabrication numérique et innovation,INCUBATION,Côte d'Ivoire,Abidjan,Continu,Immédiat,Variable,Non spécifié,Non limité,NUMERIQUE;INDUSTRIE;ENERGIE;IMPACT_SOCIAL,"Projets tech DIY, open source",,https://h-fablab.org,PRIVE
Hub Ivoire Tech,INCUBATEUR_ACCELERATEUR,Ouvert,Programme d'incubation Hub Ivoire Tech,Plus grand campus startups Afrique avec incubation complète,INCUBATION,Côte d'Ivoire,Abidjan,Continu,Variable,6-12 mois,Variable selon programme,Non limité,NUMERIQUE;AGRICULTURE;SANTE;EDUCATION;IMPACT_SOCIAL;SERVICES_PRO,"Projets innovants, équipe dédiée",,https://hubivoiretech.ci,PUBLIC
IECD,INCUBATEUR_ACCELERATEUR,Ouvert,Programme TRANSFORM,Incubateur entreprises agro-alimentaires,INCUBATION,Côte d'Ivoire,National,Continu,Variable,Variable,Non spécifié,Non spécifié,AGRICULTURE,"Entreprises agro-alimentaires, potentiel croissance",patrick.sekongo@iecd.org,https://www.iecd.ci,INTERNATIONAL
INOVIS,INCUBATEUR_ACCELERATEUR,Ouvert,CR2I Programme universitaire,Premier incubateur universitaire CI,INCUBATION,Côte d'Ivoire,Abidjan,Via université,Variable,Variable,Non spécifié,50 jeunes TIC,NUMERIQUE;RECHERCHE;EDUCATION,"Étudiants/diplômés, projets innovants",,https://inovis-ci.com,PUBLIC
Impact Hub Abidjan,INCUBATEUR_ACCELERATEUR,Ouvert,Programmes Impact Hub multiples,"AfriCircular, Innov'Keneya, WIC Académie, etc.",INCUBATION,Côte d'Ivoire,Abidjan,Selon programme,Variable,Variable,Variable selon programme,Variable,IMPACT_SOCIAL;SANTE;EDUCATION,"Impact social/environnemental, potentiel croissance",onboarding@impacthub.net,https://abidjan.impacthub.net,PRIVE
Jokkolabs Abidjan,INCUBATEUR_ACCELERATEUR,Ouvert,Espace innovation Jokkolabs,Coworking et programmes innovation,INCUBATION,Côte d'Ivoire,Abidjan,Continu,Immédiat,Variable,Selon programme,Non limité,NUMERIQUE;IMPACT_SOCIAL;EDUCATION;SERVICES_PRO;MEDIAS,"Entrepreneurs, créatifs, innovateurs",incubation@abidjan.jokkolabs.net,https://www.jokkolabs.net/,PRIVE
MEET AFRICA,INCUBATEUR_ACCELERATEUR,Ouvert,Meet Africa,Co-incubation Europe-Afrique pour diaspora,INCUBATION, Côte d'Ivoire,National,Continu,2025,Variable,Subventions seed funding, 142+ projets accompagnés,IMPACT_SOCIAL;EDUCATION;NUMERIQUE;SANTE;AGRICULTURE;ENVIRONNEMENT,"Sont éligibles les entrepreneurs issus de la diaspora africaine résidant en France ou en Europe, porteurs de projets innovants ou startups en phase d'amorçage, ayant un lien direct avec le développement économique ou social en Afrique. Le projet doit démontrer un potentiel de croissance et d'impact positif sur les communautés africaines.",,https://www.meetafrica.org,PRIVE
MEST,INCUBATEUR_ACCELERATEUR,Ouvert,MEST Abidjan,Programme intensif 1 an + fonds d'amorçage,INCUBATION, Côte d'Ivoire,National,Annuel,Annuel,1 an,50 000 à 200 000 USD pour meilleurs projets, 15 entrepreneurs ivoiriens,NUMERIQUE,"Le programme s'adresse aux jeunes entrepreneurs africains âgés de 18 à 35 ans, possédant une idée ou un projet technologique innovant à fort potentiel de croissance. Les candidats doivent démontrer une forte motivation, des compétences techniques ou entrepreneuriales, et être prêts à s'engager à temps plein pendant la durée du programme. La maîtrise de l'anglais est un atout.",info@meltwater.org,https://meltwater.org,PRIVE
MTN CI,INCUBATEUR_ACCELERATEUR,Ouvert,Y'ello Startup MTN CI,Programme en 2 phases: 3 mois incubation + 3 mois accélération pour solutions digitales sur plateformes MTN,INCUBATION,Côte d'Ivoire,National,Continu,Cycles réguliers,6 mois,Jusqu'à 7 millions FCFA (1er prix) + 2M FCFA prix Agritech,60 incubation / 20 accélération,NUMERIQUE;FINANCE,"Sont éligibles les startups ou projets digitaux innovants en phase de démarrage ou de développement, capables de proposer des solutions technologiques intégrables aux plateformes MTN (telles que Mobile Money, SMS, USSD, API de télécommunications). Les candidats doivent démontrer un fort potentiel de croissance, une équipe engagée, et une solution répondant à un besoin réel du marché ivoirien. La maîtrise du français est recommandée pour faciliter les échanges durant le programme.",startup@mtnci.com,https://yellostartup.mtn.ci,PRIVE
ORANGE CORNERS CI,INCUBATEUR_ACCELERATEUR,Ouvert,Programme Orange Corners CI,Programme d'incubation de 6 mois pour solutions écologiques et innovantes dans les chaînes de valeur cacao et horticulture,INCUBATION,Côte d'Ivoire,National,Continu,Cycles 6 mois,6 mois,Formation gratuite + accompagnement,20 par cohorte,AGRICULTURE;ENVIRONNEMENT,"Pour être éligible, le candidat doit être âgé de 18 à 35 ans, résider en Côte d'Ivoire, et porter un projet ou une entreprise innovante dans les secteurs du cacao ou de l'horticulture, créée depuis moins de 24 mois. Le chiffre d'affaires annuel de l'entreprise doit être inférieur à 5 millions de FCFA. Le porteur de projet doit disposer d'au minimum un niveau Bac ou équivalent. Le projet doit présenter une dimension écologique ou innovante clairement définie. Une motivation forte et la disponibilité à s'engager pleinement dans le programme sont également requises.",info@orangecornersivoire.com,https://orangecorners.com,PRIVE
Yiri AGL,INCUBATEUR_ACCELERATEUR,Ouvert,X Incubation Program,Développement MVP avec cas usage AGL,INCUBATION,Côte d'Ivoire,Abidjan,Continu,Variable,Variable,Non spécifié,Non spécifié,NUMERIQUE,"Jeunes entrepreneurs, MVP pertinent AGL",yiri@glgroup.com,https://www.aglgroup.com/yiri-le-centre-dinnovation-dagl-sassocie-a-digital-africa-pour-dynamiser-lentrepreneuriat-technologique-en-afrique/,PRIVE
ANZISHA PRIZE,ASSOCIATION_ENTREPRENEURIALE,À venir,Anzisha Prize 2026,Programme fellowship 3 ans pour très jeunes entrepreneurs,INCUBATION,Côte d'Ivoire,National,2026,2026,3 ans,50 000 USD répartis + 140 000 USD support/an,35 entrepreneurs/cohorte,IMPACT_SOCIAL;EDUCATION;NUMERIQUE;COMMERCE,"Les candidats doivent être âgés strictement entre 15 et 22 ans au moment de la candidature, être résidents en Afrique, et avoir une entreprise déjà opérationnelle qui génère des revenus ou a un impact tangible. L'entreprise doit être formellement enregistrée ou en voie de l'être. Le projet doit démontrer un potentiel de croissance et d'impact social ou économique significatif.",,https://anzishaprize.org,PRIVE
Impact Hub Abidjan,HUB_INNOVATION,Ouvert,Programmes Impact Hub Abidjan,Hub d'innovation sociale avec programmes d'incubation et accélération pour projets à impact,INCUBATION,Côte d'Ivoire,National,Continu,Continu,Variable,Services payants et gratuits selon programme,Variable,IMPACT_SOCIAL;ENVIRONNEMENT,"Peuvent postuler les entrepreneurs et porteurs de projets basés en Côte d'Ivoire dont les initiatives ont un impact social et/ou environnemental clair. Les projets doivent être en phase de démarrage ou de développement, avec une forte volonté d'innovation et d'engagement communautaire. Une motivation à participer activement aux activités du Hub et à collaborer avec les autres membres est également requise.",abidjan@impacthub.net,https://abidjan.impacthub.net,PRIVE
JOKKOLABS,HUB_INNOVATION,Ouvert,Jokkolabs Abidjan,Espace d'innovation collaborative et programmes d'accompagnement sur-mesure,INCUBATION, Côte d'Ivoire,National,Continu,Continu,Variable,Variable selon programme,Illimité,NUMERIQUE;IMPACT_SOCIAL;EDUCATION;SANTE;SERVICES_PRO,"Cette opportunité s'adresse à tous les entrepreneurs, porteurs de projets innovants, startups en phase de lancement ou de développement, ainsi qu'aux porteurs d'idées technologiques ou sociales souhaitant bénéficier d'un accompagnement structuré. Les candidats doivent démontrer un projet viable avec un potentiel de croissance et d'impact.",,https://jokkolabs.net/abidjan,PRIVE
O VILLAGE,HUB_INNOVATION,Ouvert,Village des Technologies,Espace d'intelligence collective et innovation numérique avec fablab,INCUBATION, Côte d'Ivoire,National,Continu,Continu,Variable,Formation gratuite logiciels libres,Illimité,NUMERIQUE;EDUCATION;IMPACT_SOCIAL,"Jeunes entrepreneurs âgés de 18 à 35 ans, sans emploi, porteurs de projets innovants dans le secteur des technologies numériques, motivés à développer leur startup et à participer activement aux activités du Village des Technologies. Une première idée ou prototype est un plus mais pas obligatoire.",,https://ovillage.ci,PRIVE
PNUD CI,ORGANISATION_INTERNATIONALE,Ouvert,Programme Innovation Entrepreneuriale,Création d'emplois et soutien aux jeunes entrepreneurs dans le secteur numérique,INCUBATION,Côte d'Ivoire,National,Continu,2025,Variable,Financement variable,300 jeunes secteur numérique,NUMERIQUE;IMPACT_SOCIAL,"Être âgé de 18 à 35 ans, être porteur d'un projet ou entrepreneur actif dans le secteur numérique ou technologique, résider en Côte d'Ivoire, démontrer un fort engagement et une motivation à développer son entreprise, et être disponible pour participer aux activités d'incubation proposées par le programme.",innovation.entrepreneuriale@undp.org,https://undp.org,INTERNATIONAL
SEEDSPACE,HUB_INNOVATION,Ouvert,Seedspace Abidjan,Hub international d'innovation avec mentorat et formations,INCUBATION, Côte d'Ivoire,National,Continu,Continu,Variable,Variable,Variable,NUMERIQUE;EDUCATION;IMPACT_SOCIAL,"Startups en phase early-stage ou growth-stage opérant dans les secteurs technologiques et numériques, basées en Afrique ou ciblant le marché africain, avec un produit ou service innovant. Les candidats doivent démontrer une équipe engagée, un prototype ou MVP fonctionnel, ainsi qu'un fort potentiel de scalabilité et d'impact.",,https://seedspace.co,PRIVE
Agence Côte d'Ivoire PME,MINISTERE_AGENCE,Ouvert,Programme IPAS - Investisseurs et Partenaires Accélération Sahel,Accompagnement levée de fonds et parcours financement pour PME,ACCELERATION,Côte d'Ivoire,National,Continu,2025,Variable,Variable,Variable,AGRICULTURE;INDUSTRIE;SANTE,PME secteurs prioritaires PND 2021-2025,,https://www.cipme.ci,PUBLIC
Ministère de l'Économie et des Finances,MINISTERE_AGENCE,Ouvert,Programme PEPITE 2030,Transformation PME/PMI en champions nationaux avec financement et accompagnement,ACCELERATION,Côte d'Ivoire,National,Continu,2021,10 ans,Budget ministériel,Variable,INDUSTRIE;NUMERIQUE;FINANCE;SERVICES_PRO;IMPACT_SOCIAL,PME avec potentiel de croissance,info@finances.gouv.ci,https://www.finances.gouv.ci,PUBLIC
ABX ACCEL,INCUBATEUR_ACCELERATEUR,À venir,Programme ABX 2025,16 semaines accélération + 12 mois accompagnement,ACCELERATION,Côte d'Ivoire,Abidjan,À confirmer,À confirmer,16 sem + 12 mois,Package 30M FCFA valeur,Non spécifié,NUMERIQUE;RECHERCHE,"Min 2 ans existence, MVP/prototype, marché existant",info@abxaccel.com,https://abxaccel.com,PRIVE
French Tech Abidjan,INCUBATEUR_ACCELERATEUR,Ouvert,Programmes French Tech,Connexion écosystèmes français et ivoirien,ACCELERATION,Côte d'Ivoire,Abidjan,Continu,Variable,Variable,Non spécifié,65+ membres,NUMERIQUE;FINANCE;IMPACT_SOCIAL,"Startups tech, lien franco-ivoirien",,https://frenchtechabidjan.com,PRIVE
GOOGLE,INCUBATEUR_ACCELERATEUR,À venir,Google for Startups Accelerator Africa 2026,Programme accélération 3 mois pour startups utilisant IA,ACCELERATION,Côte d'Ivoire,National,2026,2026,3 mois,Jusqu'à 350 000 USD Google Cloud Credits,15 startups,NUMERIQUE;RECHERCHE,"La startup doit être basée en Afrique, avoir au moins un fondateur africain, disposer d'un produit ou service technologique fonctionnel intégrant des éléments d'intelligence artificielle, être en phase de croissance avec une preuve de concept validée, et être prête à s'engager pleinement dans le programme de 3 mois. Les startups dans tous les secteurs technologiques sont éligibles, à condition que l'IA soit un composant clé de leur solution.",africa-startups@google.com,https://startup.google.com,PRIVE
Incub'Ivoire,INCUBATEUR_ACCELERATEUR,Ouvert,Speed Farmer,Accélération agripreneurs secteur agricole,ACCELERATION,Côte d'Ivoire,National,Via appels à projets,Variable,3 mois,Non spécifié,Non spécifié,AGRICULTURE,"Projets agricoles innovants, viabilité économique",,https://incubivoir.net,PRIVE
ORANGE FAB CI,INCUBATEUR_ACCELERATEUR,Ouvert,Orange Fab CI 9e édition,Accélérateur corporate du Groupe Orange avec accès aux APIs Orange,ACCELERATION,Côte d'Ivoire,National,En cours,2025,4 mois,10 millions FCFA par startup + support technique,6 startups par saison,NUMERIQUE;FINANCE;SANTE,"Sont éligibles les startups innovantes, déjà établies en Côte d'Ivoire ou dans la région, proposant des solutions technologiques compatibles avec les services et APIs du Groupe Orange. Les startups doivent démontrer un potentiel de croissance, une équipe solide, ainsi qu'une capacité à collaborer étroitement avec Orange pour co-développer des solutions adaptées aux besoins du marché.",orangefab.ci@orange.com,https://orangefab.ci,PRIVE
ZEBOX West Africa,INCUBATEUR_ACCELERATEUR,Ouvert,ZEBOX Fall 2025 Cohort,Programme d'accélération CMA CGM pour startups logistique et supply chain,ACCELERATION,Côte d'Ivoire,Abidjan,2025-09-30,2025-10-01,9-12 mois,Accès réseau CMA CGM + levée fonds,Non spécifié,TRANSPORT,"Startups matures, secteur maritime/logistique",,https://www.ze-box.io/hubs/west-africa,PRIVE
CGECI ACCEL,ASSOCIATION_ENTREPRENEURIALE,Ouvert,CGECI Accélérateur,Programme du patronat ivoirien pour promotion entrepreneuriat,ACCELERATION,Côte d'Ivoire,National,Continu,Continu,Variable,Formation et accompagnement,Variable,NUMERIQUE;IMPACT_SOCIAL;EDUCATION;SANTE;COMMERCE;INDUSTRIE,"Le programme s'adresse aux porteurs de projets innovants basés en Côte d'Ivoire, notamment les PME et startups en phase d'amorçage ou de croissance. Les candidats doivent démontrer la viabilité et l'impact potentiel de leur projet, avoir une équipe engagée, et être ouverts à un accompagnement structuré pour accélérer leur développement.",,https://cgeci.com,PRIVE
AGEFOP,MINISTERE_AGENCE,Ouvert,Programme de Formation et Insertion Professionnelle,"Formations entrepreneuriat, GERME, techniques sectorielles, passeport-compétences",FORMATION,Côte d'Ivoire,National,Continu,1992,Permanent,Budget étatique,1000+ bénéficiaires/an,AGRICULTURE;CONSTRUCTION;SERVICES_PRO;EDUCATION,"Ivoiriens 15-30 ans, niveau CM2 minimum",info@agefop.ci,https://www.agefop.ci,PUBLIC
ANSUT,MINISTERE_AGENCE,Ouvert,Programmes ANSUT Connect 2025,"Activation Réseau National Haut Débit, connectivité rurale, formations numériques Genius",FORMATION,Côte d'Ivoire,National,Continu,2025,Permanent,Budget État + partenaires,Villages ruraux + étudiants,NUMERIQUE;EDUCATION;IMPACT_SOCIAL,"Villages non connectés, étudiants, entrepreneurs numériques",info@ansut.ci,https://www.ansut.ci,PUBLIC
Agence Côte d'Ivoire PME,MINISTERE_AGENCE,Ouvert,Programme d'Appui aux Femmes Exportatrices (PAFE),Accompagnement femmes agroalimentaire vers export avec formation gestion et marketing,FORMATION,Côte d'Ivoire,National,Continu,2024,Permanent,Variable,Variable,AGRICULTURE;COMMERCE,Femmes entrepreneures secteur agroalimentaire,,https://www.cipme.ci,PUBLIC
Direction Générale des Sports,MINISTERE_AGENCE,Ouvert,Direction Professionnalisation et Économie du Sport (DPES),Développement filière économique sportive avec formation métiers sport,FORMATION,Côte d'Ivoire,National,Continu,Permanent,Permanent,Variable,3000 jeunes formés,EDUCATION;SERVICES_PRO;IMPACT_SOCIAL,"Jeunes intéressés métiers sport, PME sportives",,https://www.sports.gouv.ci,PUBLIC
Ministère de l'Enseignement Technique et de la Formation Professionnelle,MINISTERE_AGENCE,Ouvert,École de la Deuxième Chance (E2C) - PEJEDEC 3,"Formation professionnelle pour jeunes déscolarisés, apprentissage avec maîtres-artisans",FORMATION,Côte d'Ivoire,National,Continu,2021,Jusqu'en 2030,Budget gouvernemental + partenaires,400000 personnes d'ici 2030,EDUCATION;IMPACT_SOCIAL,"16-35 ans qualification initiale, pas de limite pour reconversion",,https://www.daip.ci,PUBLIC
Ministère délégué auprès du Premier Ministre chargé des Sports et du Cadre de Vie,MINISTERE_AGENCE,Ouvert,Programme d'Aisance Aquatique,Programme national natation et sécurité aquatique,FORMATION,Côte d'Ivoire,National,Continu,Octobre 2022,Permanent,Budget ministériel,Illimité,SANTE;EDUCATION;PUBLIC;IMPACT_SOCIAL,"Jeunesse ivoirienne, population générale",,https://www.sports.gouv.ci,PUBLIC
OIPI,MINISTERE_AGENCE,Ouvert,Clubs d'Invention/Innovation - Projet INVENT'DEMAIN,Développement capacités entrepreneuriales via clubs dans lycées et universités,FORMATION,Côte d'Ivoire,National,Continu,2025,Permanent,Budget OIPI,Variable,EDUCATION;RECHERCHE,"Membres clubs lycées techniques, universités",,https://www.oipi.ci,PUBLIC
FDFP,FONDS_INVESTISSEMENT,Ouvert,Fonds de Développement de la Formation Professionnelle,"Plans de formation entreprise, apprentissage, reconversion professionnelle",FORMATION,Côte d'Ivoire,National,Continu,1991,Permanent,10 milliards FCFA/an redistribués,Illimité,EDUCATION;SERVICES_PRO;IMPACT_SOCIAL,"Entreprises cotisantes, artisans associés",info@fdfp.ci,https://www.fdfp.ci,PUBLIC
HEC Challenge Plus,INCUBATEUR_ACCELERATEUR,À venir,HEC Challenge Plus Abidjan,Formation entrepreneuriat innovant HEC Paris,FORMATION,Côte d'Ivoire,Abidjan,Octobre 2025,2025-10-01,8 mois,4500€ coût réduit,Non spécifié,EDUCATION;RECHERCHE,"Projet innovant, profil scientifique/ingénieur",,https://www.hec.edu/fr/instituts-centres-d-expertise/innovation-entrepreneurship/nos-centres/centre-deep-tech/hec-challenge-plus-abidjan,PRIVE
10000 CODEURS,CENTRE_FORMATION,Ouvert,Programme 10000 Codeurs,Formation en 65+ métiers du numérique,FORMATION,Côte d'Ivoire,National,Continu,2025,9 mois (9h/semaine),Passeport Numérique gratuit,1500 développeurs/pays,NUMERIQUE;EDUCATION,"Ouvert à toute personne majeure ou mineure émancipée, sans condition de diplôme ni d'expérience préalable, avec un intérêt marqué pour les technologies numériques et la volonté d'apprendre un métier du digital. Une motivation forte et un engagement dans le parcours de formation sont nécessaires.",,https://10000codeurs.com,PRIVE
AFRICA CODE WEEK,CENTRE_FORMATION,Ouvert,Africa Code Week CI,Formation programmation pour jeunes,FORMATION,Côte d'Ivoire,National,Octobre 2025,Octobre 2025,1 semaine,Gratuit,40 000 jeunes CI,NUMERIQUE;EDUCATION,"Jeunes âgés de 8 à 40 ans résidant en Côte d'Ivoire, intéressés par l'apprentissage de la programmation, sans prérequis technique nécessaire. Les formations sont ouvertes aux étudiants, jeunes professionnels, et toute personne souhaitant développer ses compétences en codage.",,https://africacodeweek.org,PRIVE
ANDELA,CENTRE_FORMATION,Ouvert,Andela Learning Community,"Formations cloud native, IA, React.js",FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,Accès réseau 150 000+ pros,Variable,NUMERIQUE;EDUCATION,"Cette formation s'adresse principalement aux développeurs débutants à intermédiaires, aux ingénieurs logiciels, ainsi qu'aux professionnels de la tech souhaitant renforcer leurs compétences dans les domaines du cloud computing, de l'intelligence artificielle et du développement web. Une connaissance de base en programmation est recommandée. Les candidats doivent être motivés à apprendre et à participer activement aux sessions proposées.",learning.community@andela.com,https://andela.com,PRIVE
AWF SEPHIS,CENTRE_FORMATION,Ouvert,African Women of the Future,Formation intensive management et leadership pour femmes,FORMATION, Côte d'Ivoire,National,Annuel,2025,4-6 semaines, Formation gratuite avec certification,36 femmes/an CI,IMPACT_SOCIAL;EDUCATION;SERVICES_PRO,"Être une femme entrepreneure africaine âgée de 18 à 45 ans, porteuse d'un projet innovant à fort impact social ou économique, avoir une expérience minimale dans la gestion d'entreprise ou dans le développement de projet, démontrer un engagement envers le leadership féminin et la promotion de l'entrepreneuriat durable.",,https://fondationsephis.org/,INTERNATIONAL
AWS RESTART,CENTRE_FORMATION,Ouvert,AWS re/Start,Formation AWS avec certification Cloud Practitioner,FORMATION, Côte d'Ivoire,National,Continu,Continu,12 semaines,Formation gratuite + certification,Variable,NUMERIQUE;EDUCATION,"Être résident en France, avoir un niveau de base en informatique ou une forte motivation pour apprendre le cloud computing, être inscrit via Orange Digital Center, et être disponible pour suivre la formation à temps plein pendant plusieurs semaines. Aucun prérequis technique avancé n'est nécessaire, mais une bonne maîtrise du français est recommandée.",,https://aws.amazon.com,PRIVE
BIT,CENTRE_FORMATION,Ouvert,Projet Formalisation BIT,Formation formalisation entreprises secteur informel,FORMATION,Côte d'Ivoire,National,Continu,2025,Variable,Formation gratuite,Variable,IMPACT_SOCIAL;EDUCATION;COMMERCE,"La formation s'adresse aux entrepreneurs et micro-entrepreneurs opérant dans le secteur informel, souhaitant formaliser leur activité. Les participants doivent être âgés de 18 ans ou plus, résider dans la région ciblée par le programme, et être motivés à entreprendre les démarches de formalisation de leur entreprise.",,https://ilo.org,INTERNATIONAL
CME,CENTRE_FORMATION,Ouvert,Centre Métiers Électricité,Formation énergies renouvelables et efficacité énergétique,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable selon formation,Certifications BTS/Licence pro,Variable,ENERGIE;EDUCATION,"La formation s'adresse aux étudiants titulaires d'un diplôme de niveau Bac ou équivalent, ainsi qu'aux professionnels du secteur de l'électricité, de la maintenance industrielle ou de la gestion énergétique souhaitant se spécialiser ou se reconvertir dans les énergies renouvelables.",,https://www.cme.ci/,PUBLIC
DIGI FEMMES,CENTRE_FORMATION,Ouvert,Programme Digi Femmes,Formation holistique en compétences digitales pour femmes,FORMATION,Côte d'Ivoire,National,Continu,2025,9 mois,Formation gratuite,600 femmes sur 6 villes,NUMERIQUE;EDUCATION;IMPACT_SOCIAL,"Femmes âgées de 16 ans et plus, alphabétisées (savoir lire et écrire), résidant en Côte d'Ivoire. La formation est ouverte aux femmes sans distinction de niveau d'études, avec une motivation pour apprendre les compétences digitales. Une priorité peut être donnée aux femmes en situation de vulnérabilité ou sans emploi.",,https://digifemmes.ci,PRIVE
E2C,CENTRE_FORMATION,Ouvert,École de la Deuxième Chance,Formation de masse pour jeunes mal insérés,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,Formation gratuite,Formation de masse,EDUCATION;IMPACT_SOCIAL,"Jeunes âgés de 16 à 25 ans, résidant en France, sans emploi, sans diplôme ni qualification professionnelle, rencontrant des difficultés d'insertion sociale et professionnelle, motivés pour s'engager dans un parcours de formation et d'accompagnement personnalisé.",,https://formation-professionnelle.gouv.ci,PUBLIC
FIPME,CENTRE_FORMATION,Ouvert,Programmes Formation FIPME,Formation et requalification jeunes avec partenaires,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,Formation gratuite,Variable selon programme,EDUCATION;IMPACT_SOCIAL,"Jeunes âgés de 16 à 35 ans, résidant dans la région concernée, sans emploi ou en reconversion professionnelle, motivés à suivre une formation qualifiante. Une priorité est donnée aux jeunes peu ou pas diplômés, ainsi qu'aux bénéficiaires de minima sociaux ou en situation de précarité.",,https://fipme.ci,PUBLIC
GDG ABIDJAN,CENTRE_FORMATION,Ouvert,Google Developer Groups Abidjan,Formations Google Cloud et certifications,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,3 mois gratuits Google Cloud Skills Boost,Illimité,NUMERIQUE;EDUCATION,"Cette formation s'adresse principalement aux développeurs professionnels, aux étudiants en informatique ou disciplines connexes, ainsi qu'aux passionnés de technologie souhaitant se spécialiser dans les solutions Google Cloud. Une connaissance de base en programmation et en concepts cloud est recommandée pour tirer pleinement parti des sessions.",,https://gdg.community.dev/gdg-cloud-abidjan/,PRIVE
GIZ,CENTRE_FORMATION,Ouvert,Programme WE.CODE,Formation numérique intensive en développement full stack et cybersécurité,FORMATION,Côte d'Ivoire,National,Continu,2025,6 mois,Formation gratuite,300 jeunes,NUMERIQUE;EDUCATION,"Jeunes âgés de 18 à 35 ans, résidant dans la zone d'intervention du programme, avec un intérêt marqué pour les technologies numériques et le développement informatique. Une connaissance de base en informatique est recommandée. La motivation à s'engager dans une formation intensive et la disponibilité pour toute la durée du programme sont également requises.",wecode@giz.de,https://wecode.ci,INTERNATIONAL
LAFIGUE,CENTRE_FORMATION,Ouvert,Programme Employabilité Lafigue,Formation mine et BTP pour jeunes locaux,FORMATION,Côte d'Ivoire,National,Continu,2025,Variable,145M FCFA budget,150 jeunes,RESSOURCES;CONSTRUCTION;EDUCATION,"Jeunes âgés de 16 à 35 ans, résidant dans les communes de Katiola et Dabakala, motivés à intégrer les secteurs de la mine et du BTP, avec un niveau scolaire minimum de classe de troisième ou équivalent. Une motivation pour le travail manuel et la capacité à suivre une formation intensive sont également requises.",,https://endeavourmining.com,PUBLIC
OIF,CENTRE_FORMATION,Ouvert,Programme D-CLIC,Formation numérique pour femmes francophones,FORMATION,Côte d'Ivoire,National,Continu,2025,Variable,Formation gratuite,100 femmes CI,NUMERIQUE;EDUCATION;IMPACT_SOCIAL,"Être une femme francophone âgée de 18 à 35 ans, résidant dans un pays membre de l'Organisation Internationale de la Francophonie (OIF), avec un intérêt pour le numérique et la volonté de développer des compétences dans ce domaine. Aucun prérequis technique spécifique n'est nécessaire, mais une motivation forte est recommandée.",,https://francophonie.org,INTERNATIONAL
ORANGE DIGITAL,CENTRE_FORMATION,Ouvert,Orange Digital Center Abidjan,École du code gratuite avec certification AWS,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable dont 12 semaines AWS,100% gratuit,Illimité,NUMERIQUE;EDUCATION;IMPACT_SOCIAL,"La formation s'adresse aux étudiants en informatique ou disciplines connexes, aux jeunes diplômés souhaitant se spécialiser en développement et cloud, ainsi qu'aux jeunes déscolarisés motivés par une reconversion dans le secteur numérique. Aucune expérience préalable n'est exigée, mais une bonne maîtrise du français et une appétence pour les technologies digitales sont recommandées.",,https://orangedigitalcenters.com,PRIVE
PHOENIX,CENTRE_FORMATION,Ouvert,Programme Phoenix PME,Amélioration employabilité jeunes,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,Formation et financement,Variable,EDUCATION;IMPACT_SOCIAL,"Jeunes résidents en France âgés de 18 à 40 ans, sans emploi ou en recherche d'amélioration de leurs compétences professionnelles, motivés à s'engager dans une formation de plusieurs semaines. Priorité donnée aux personnes issues de milieux défavorisés ou aux demandeurs d'emploi de longue durée.",,https://cipme.ci,PUBLIC
PRO JEUNES,CENTRE_FORMATION,Ouvert,PRO-Jeunes USAID,Formation femmes secteur énergétique,FORMATION,Côte d'Ivoire,National,Continu,2025,Variable,1.4M USD budget,750 jeunes femmes,ENERGIE;EDUCATION;IMPACT_SOCIAL,"Femmes âgées de 18 à 35 ans, résidant dans la région ciblée par PRO JEUNES, ayant un niveau d'études minimum équivalent au secondaire ou une expérience professionnelle dans un domaine lié à l'énergie est un plus. Les candidates doivent être motivées à s'engager dans une formation intensive et disponibles pour toute la durée du programme.",,https://usaid.gov,INTERNATIONAL
PROFERE,CENTRE_FORMATION,Ouvert,Programme ProFERE GIZ,Formation professionnelle énergies renouvelables,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,Formation gratuite,400+ experts formés,ENERGIE;EDUCATION;IMPACT_SOCIAL,"La formation s'adresse aux professionnels travaillant dans le secteur de l'énergie, incluant les ingénieurs, techniciens, gestionnaires de projets, ainsi que les décideurs impliqués dans les politiques énergétiques. Les candidats doivent justifier d'une expérience préalable dans le domaine de l'énergie ou des énergies renouvelables, et démontrer un intérêt pour le développement durable et les technologies propres.",,https://giz.de,PUBLIC
