type,statut,nom,description,services,logo_url,tags,pays,region,ville,adresse,longitude,latitude,telephone,email,site_web
MINISTERE_AGENCE,Public,Ministère de l'Entrepreneuriat National et des PME,Ministère chargé de la politique PME et entrepreneuriat,"[Politique PME,Startup Act,Tutelle CI PME,Programmes jeunes,Formalisation]",,"[gouvernement,politique PME,entrepreneuriat]",Côte d'Ivoire,Lagunes,Abidjan,"Tour A Immeuble Sciam, Plateau",-4.0142,5.3207,+225 27 20 33 16 50,info@entrepreneuriat.gouv.ci,https://entrepreneuriat.gouv.ci
MINISTERE_AGENCE,Public,Ministère de la Transition Numérique,Ministère en charge de la transformation digitale,"[Politique numérique,Innovation digitale,E-gouvernement,Soutien startups tech]",,"[gouvernement,digital,innovation]",Côte d'Ivoire,Lagunes,Abidjan,"Immeuble Postel 2001, Plateau",-4.0142,5.3207,+225 27 20 34 73 72,ministere@telecom.gouv.ci,http://www.telecom.gouv.ci
MINISTERE_AGENCE,Public,Ministère du Commerce et de l'Industrie,Ministère en charge du commerce et développement industriel,"[Régulation commerce,Promotion PME,Politique industrielle,Facilitation export]",,"[gouvernement,commerce,industrie]",Côte d'Ivoire,Lagunes,Abidjan,"Immeuble Postel 2001, Plateau",-4.0142,5.3207,+225 20 22 95 28,info@commerce.gouv.ci,https://commerce.gouv.ci
MINISTERE_AGENCE,Public,Ministère de la Jeunesse,Ministère en charge de la jeunesse et insertion professionnelle,"[Politique jeunesse,Programme entrepreneuriat,Formation professionnelle,Insertion jeunes]",,"[gouvernement,jeunesse,formation]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,info@jeunesse.gouv.ci,https://jeunesse.gouv.ci
MINISTERE_AGENCE,Public,Secrétariat d'État chargé de l'Autonomisation des Femmes,Structure gouvernementale pour l'autonomisation économique des femmes,"[Entrepreneuriat féminin,Financement femmes,Formation genre,Autonomisation économique]",,"[femmes,genre,autonomisation]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,info@femmes.gouv.ci,https://femmes.gouv.ci
AGENCE_PROMOTION,Public,Agence Côte d'Ivoire PME,Agence nationale de promotion des PME,"[Financement PME,Formation entrepreneuriale,Incubation,Formalisation,Conseil PME]",,"[pme,financement,formation]",Côte d'Ivoire,Lagunes,Abidjan,"Tour A 1er Étage Plateau, Immeuble Sciam",-4.0142,5.3207,+225 27 20 23 93 31,info@agencecipme.ci,https://agencecipme.ci
AGENCE_PROMOTION,Public,Agence Emploi Jeunes,Agence gouvernementale pour l'emploi et entrepreneuriat jeune,"[Formation entrepreneuriat,Financement jeunes,C2D emploi,Stage emploi,PEJEDEC]",,"[jeunesse,emploi,entrepreneuriat]",Côte d'Ivoire,Lagunes,Abidjan,"39 Boulevard Clozel, Plateau",-4.0150,5.3210,+225 20 00 00 00,info@agenceemploijeunes.ci,https://agenceemploijeunes.ci
AGENCE_PROMOTION,Public,APEX-CI,Agence de Promotion des Exportations de Côte d'Ivoire,"[Information marchés,Formation normes export,Missions commerciales,Label qualité]",,"[export,commerce international,soutien PME]",Côte d'Ivoire,Lagunes,Abidjan,"Plateau, Immeuble CCIA",-4.0142,5.3207,+225 27 20 33 34 20,contact@apex-ci.org,http://www.apex-ci.org
AGENCE_PROMOTION,Public,CEPICI - Service Diaspora,Service du CEPICI dédié aux investisseurs de la diaspora,"[Accueil diaspora,Appui création entreprise,Banque projets régionaux,Forums diaspora]",,"[diaspora,investissement,retour au pays]",Côte d'Ivoire,Lagunes,Abidjan,"Plateau, Immeuble Memanou",-4.0142,5.3207,+225 27 20 31 14 00,diaspora@cepici.ci,https://cepici.gouv.ci/diaspora
AGENCE_PROMOTION,Public,FDFP,Fonds de Développement de la Formation Professionnelle,"[Formation continue,Apprentissage,Perfectionnement PME,Certification professionnelle]",,"[formation,apprentissage,competences]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,info@fdfp.ci,https://fdfp.ci
AGENCE_PROMOTION,Public,AGEPE,Agence d'Études et de Promotion de l'Emploi,"[Études emploi,Intermédiation,Orientation professionnelle,Statistiques emploi]",,"[emploi,etudes,orientation]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,contact@agepe.ci,https://agepe.ci
AGENCE_PROMOTION,Public,MPME CI,Ministère de la Promotion des PME,"[Politique PME,Facilitation administrative,Programme financement,Formation entrepreneuriale]",,"[gouvernement,pme,politique]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,info@mpme.ci,https://mpme.ci
AGENCE_PROMOTION,Public,ANSUT,Agence Nationale du Service Universel des Télécommunications,"[Service universel,Accès TIC rural,Formation digitale,Infrastructure télécom]",,"[telecom,inclusion digitale,rural]",Côte d'Ivoire,Lagunes,Abidjan,"Riviera Attoban, Cocody",-3.9650,5.3450,+225 27 22 52 95 05,contact@ansut.ci,https://ansut.ci
CHAMBRE_COMMERCE,Public,CCI-CI,Chambre de Commerce et d'Industrie de Côte d'Ivoire,"[Formation commerce,Export support,Certification origine,B2B matchmaking,18 bureaux]",,"[chambre commerce,export,formation]",Côte d'Ivoire,Lagunes,Abidjan,"1 Avenue Joseph Anoma, Plateau",-4.0142,5.3207,+225 20 33 16 00,info@cci.ci,http://www.cci.ci
CHAMBRE_COMMERCE,Privé,CCI France Côte d'Ivoire,Chambre de Commerce France-Côte d'Ivoire,"[Business France,Matchmaking B2B,Prospection marchés,VIE program,600 membres]",,"[chambre commerce,france,international]",Côte d'Ivoire,Lagunes,Abidjan,"Boulevard de Marseille, Biétry",-4.0000,5.2800,+225 27 21 25 82 06,contact@ccifci.org,https://ccifci.org
CHAMBRE_COMMERCE,Privé,AmCham Côte d'Ivoire,American Chamber of Commerce,"[US business facilitation,Trade missions,Advocacy,Networking,400 membres]",,"[chambre commerce,usa,networking]",Côte d'Ivoire,Lagunes,Abidjan,67 Boulevard Charles De Gaulle,-4.0100,5.3100,+225 25 22 015 638,info@amcham-ci.org,https://amcham-ci.org
CHAMBRE_COMMERCE,Privé,Chambre de Commerce Libanaise,Chambre de commerce communauté libanaise,"[Import/export,Networking diaspora,Commerce international]",,"[chambre commerce,diaspora,import export]",Côte d'Ivoire,Lagunes,Abidjan,Marcory,-3.9920,5.2950,+225 21 00 00 00,ccl@liban-ci.org,
CHAMBRE_COMMERCE,Privé,Chambre de Commerce Chinoise CI,Chambre commerce communauté chinoise,"[Trade Chine-CI,Import facilitation,B2B China,Language support]",,"[chambre commerce,chine,trade]",Côte d'Ivoire,Lagunes,Abidjan,Marcory,-3.9920,5.2950,+225 07 00 00 00,cccaci@china-ci.org,
CENTRE_FORMATION,ONG Internationale,IECD,Institut Européen de Coopération et de Développement,"[Formation professionnelle,Programme PATPE,Mentorat PME,TRANSFORM agro,Clubs entrepreneurs]",,"[formation entrepreneurs,ONG,économie locale]",Côte d'Ivoire,Lagunes,Abidjan,Cocody Bonoumin,-3.9900,5.3500,+225 02 400 225,ci@iecd.org,https://www.iecd.org/cote-divoire
CENTRE_FORMATION,ONG,Empow'Her Côte d'Ivoire,Organisation internationale pour l'autonomisation économique des femmes,"[Formations business femmes,Incubation projets féminins,Mentorat femmes leaders,Coworking]",,"[femmes,inclusion,capacity building]",Côte d'Ivoire,Lagunes,Abidjan,Cocody Angré,-3.9750,5.3550,,cotedivoire@empow-her.com,https://empow-her.com
ASSOCIATION_ENTREPRENEURIALE,Privé,MPME CI,Mouvement des PME de Côte d'Ivoire,"[Représentation PME,Lobbying,Formations,Networking,Assistance juridique/fiscale]",,"[PME,association patronale,plaidoyer]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,,mpme.ci@gmail.com,
ASSOCIATION_ENTREPRENEURIALE,International,La French Tech Abidjan,Communauté French Tech réunissant l'écosystème tech francophone,"[Réseau startup,Networking franco-ivoirien,Événements tech,Promotion internationale]",,"[communauté tech,diaspora,coopération]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,,abidjan@lafrenchtech.com,https://lafrenchtech.com
ASSOCIATION_ENTREPRENEURIALE,International,CEI Diaspora (CCEDIAF),Club des Entrepreneurs Ivoiriens de la Diaspora,"[Réseau business diaspora,Forums investissement,Missions économiques,Mentorat]",,"[diaspora,réseau affaires,investissement]",France/Côte d'Ivoire,Île-de-France/Lagunes,Paris/Abidjan,Paris France,-2.3522,48.8566,,contact@ccediaf.org,https://ccediaf.org
ASSOCIATION_ENTREPRENEURIALE,Privé,CGECI,Confédération Générale des Entreprises de Côte d'Ivoire,"[Représentation patronale,Plaidoyer,Formation dirigeants,200+ entreprises membres]",,"[patronat,entreprises,plaidoyer]",Côte d'Ivoire,Lagunes,Abidjan,"Maison de l'Entreprise, Plateau",-4.0142,5.3207,+225 20 33 02 02,cgeci@cgeci.com,https://cgeci.com
ASSOCIATION_ENTREPRENEURIALE,Privé,FIPME,Fédération Ivoirienne des PME,"[Plaidoyer PME,Ateliers formation,Genre et PME,31 régions,14 districts]",,"[pme,federation,plaidoyer]",Côte d'Ivoire,National,National,Plateau,-4.0142,5.3207,+225 20 00 00 00,info@fipme.ci,https://fipme.ci
ASSOCIATION_ENTREPRENEURIALE,Privé,FENACCI,Fédération Nationale des Chambres de Commerce,"[1.5M membres,Carte professionnelle,Formation continue,159 sections locales]",,"[commerce,federation,formation]",Côte d'Ivoire,National,National,"Avenue Noguès, Plateau",-4.0142,5.3207,+225 20 00 00 00,contact@fenac-ci.org,https://fenac-ci.org
ASSOCIATION_ENTREPRENEURIALE,Non-profit,JCI Côte d'Ivoire,Jeune Chambre Internationale,"[Leadership 18-40 ans,Formation soft skills,32 chapitres locaux,Réseautage]",,"[jeunesse,leadership,networking]",Côte d'Ivoire,National,National,Plateau,-4.0142,5.3207,+225 07 00 00 00,president@jci-ci.org,https://jci-ci.org
ASSOCIATION_ENTREPRENEURIALE,Privé,APEX-CI Banques,Association Professionnelle des Banques,"[Représentation bancaire,Formation bancaire,Inclusion financière,Mobile money]",,"[banques,finance,formation]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,apex@apexci.org,https://apexci.org
ASSOCIATION_ENTREPRENEURIALE,Privé,ROADCI,Réseau Ouest Africain des Femmes Entrepreneures,"[Networking femmes,Formation leadership,Mentorat,Commerce transfrontalier]",,"[femmes,reseau,leadership]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 07 00 00 00,cotedivoire@roadci.org,https://roadci.org
ASSOCIATION_ENTREPRENEURIALE,Privé,RICOMEN,Réseau Ivoirien des Commerçantes,"[Commerce femmes,Microfinance,Formation commerce,Plaidoyer genre]",,"[femmes,commerce,microfinance]",Côte d'Ivoire,National,National,Adjamé,-4.0260,5.3360,+225 07 00 00 00,ricomen@gmail.com,
ASSOCIATION_ENTREPRENEURIALE,Privé,Club des Entrepreneurs CI,Club d'affaires et networking,"[Networking premium,Conférences,Mentorat,Deal flow]",,"[networking,affaires,mentorat]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 07 00 00 00,contact@club-entrepreneurs.ci,https://club-entrepreneurs.ci
ASSOCIATION_ENTREPRENEURIALE,Privé,AFCI - Association Fintech CI,Association des Fintech de Côte d'Ivoire,"[Plaidoyer fintech,Régulation,Innovation financière,Standards]",,"[fintech,innovation,regulation]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 07 00 00 00,info@fintech-ci.org,https://fintech-ci.org
ASSOCIATION_ENTREPRENEURIALE,Privé,VITIB,Association du Village des Technologies,"[Tech ecosystem,Innovation,Digital transformation,Events]",,"[tech,innovation,digital]",Côte d'Ivoire,Lagunes,Abidjan,"Zone 3, Treichville",-4.0050,5.2900,+225 21 00 00 00,contact@vitib.ci,https://vitib.ci
ASSOCIATION_ENTREPRENEURIALE,Privé,UNICI,Union Nationale des Investisseurs de CI,"[Advocacy investisseurs,Capital local,Deal syndication,Formation]",,"[investissement,capital,advocacy]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,unici@investisseurs-ci.org,
ASSOCIATION_ENTREPRENEURIALE,Privé,APBEF-CI,Association Professionnelle des Banques et Établissements Financiers,"[Régulation bancaire,Formation finance,Standards,Compliance]",,"[banques,finance,regulation]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,apbef@banques-ci.org,https://apbef-ci.org
ASSOCIATION_ENTREPRENEURIALE,Privé,GOTIC,Groupement des Opérateurs du Secteur des TIC,"[Plaidoyer TIC,Formation tech,Standards,Innovation]",,"[tic,tech,formation]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 07 00 00 00,info@gotic.ci,https://gotic.ci
ASSOCIATION_ENTREPRENEURIALE,Privé,REJEC,Réseau des Jeunes Entrepreneurs de CI,"[Entrepreneuriat jeune,Mentorat,Pitch competitions,Formation]",,"[jeunesse,entrepreneuriat,mentorat]",Côte d'Ivoire,National,National,Cocody,-3.9900,5.3500,+225 07 00 00 00,contact@rejec.ci,https://rejec.ci
ASSOCIATION_ENTREPRENEURIALE,Privé,AFEM-CI,Association des Femmes Entrepreneures et des Métiers,"[Femmes entrepreneures,Formation métiers,Autonomisation,Microfinance]",,"[femmes,metiers,formation]",Côte d'Ivoire,National,National,Yopougon,-4.0900,5.3370,+225 23 00 00 00,afem@femmes-entrepreneurs.ci,
CABINET_CONSEIL,Privé,ESPartners,Cabinet de conseil international en développement entrepreneurial,"[Consulting stratégique PME,Design programmes incubation,Études marché,Levée fonds]",,"[consulting,stratégie,écosystème]",Côte d'Ivoire,Lagunes,Abidjan,Cocody Riviera,-3.9700,5.3400,,info@espartners.co,http://www.espartners.co
CABINET_JURIDIQUE,LegalTech,Legafrik,Plateforme juridique en ligne pour entrepreneurs,"[Création entreprise en ligne,Domiciliation,Dépôt marque,Contrats,Chatbot juridique]",,"[legaltech,formalisation,juridique en ligne]",Côte d'Ivoire,Lagunes,Abidjan,"II Plateaux, Cocody 7è Tranche",-3.9872,5.3681,+225 07 07 59 35 95,contact@legafrik.com,https://www.legafrik.ci
CABINET_JURIDIQUE,Privé,FDKA,Cabinet d'avocats d'affaires international,"[Droit des affaires,M&A,Arbitrage,Droit OHADA,Private equity]",,"[avocat,affaires,international]",Côte d'Ivoire,Lagunes,Abidjan,"Résidence les Harmonies, Plateau",-4.0142,5.3207,+225 27 20 21 20 31,contact@fdka.ci,https://fdka.ci
CABINET_JURIDIQUE,Privé,Bilé-Aka Brizoua-Bi & Associés,Cabinet d'avocats leader en Côte d'Ivoire,"[Corporate,Finance,Contentieux,Arbitrage,Conseil stratégique]",,"[avocat,corporate,finance]",Côte d'Ivoire,Lagunes,Abidjan,"7 Boulevard Latrille, Cocody",-3.9872,5.3681,+225 27 22 40 64 30,contact@bilebrizoua.ci,https://bilebrizoua.ci
CABINET_JURIDIQUE,Privé,SCPA KADJO-KADJO & Associés,Cabinet spécialisé droit des affaires OHADA,"[Droit OHADA,Fiscalité,Contentieux commercial,Propriété intellectuelle]",,"[avocat,ohada,fiscalite]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,cabinet@kadjo-associes.ci,
CABINET_JURIDIQUE,Privé,Me DEGNY DAILLY Sylvie,Avocate spécialisée startups et tech,"[Droit du numérique,Propriété intellectuelle,Startups,Levées de fonds]",,"[avocat,tech,startup]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 07 00 00 00,sdegny@avocat-tech.ci,
CABINET_JURIDIQUE,Privé,COFINA CONSEIL JURIDIQUE,Cabinet conseil juridique et fiscal PME,"[Conseil juridique PME,Optimisation fiscale,Conformité,Formation]",,"[conseil juridique,fiscal,pme]",Côte d'Ivoire,Lagunes,Abidjan,Zone 4,-3.9920,5.2950,+225 21 00 00 00,conseil@cofina-juridique.ci,
CABINET_JURIDIQUE,Privé,ASAFO & Co,Cabinet d'avocats panafricain,"[Droit des affaires régional,UEMOA,CEDEAO,Investment law]",,"[avocat,regional,investissement]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,abidjan@asafo.com,https://asafo.com
CABINET_JURIDIQUE,Privé,YAO & Associates,Cabinet conseil juridique entrepreneuriat social,"[Impact investing,Entreprises sociales,Compliance ESG,B-Corp]",,"[avocat,impact,esg]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 07 00 00 00,contact@yao-associates.ci,
CABINET_JURIDIQUE,Privé,Ordre des Avocats de Côte d'Ivoire,Barreau de Côte d'Ivoire,"[Annuaire avocats,Aide juridictionnelle,Formation,Déontologie]",,"[avocat,barreau,ordre]",Côte d'Ivoire,Lagunes,Abidjan,"Palais de Justice, Plateau",-4.0142,5.3207,+225 20 00 00 00,barreau@avocats-ci.org,https://ordredesavocats-ci.net
CABINET_JURIDIQUE,Privé,Cabinet KOFFI & Partenaires,Cabinet spécialisé restructuration PME,"[Restructuration,Redressement,Médiation commerciale,Recouvrement]",,"[avocat,restructuration,mediation]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,cabinet@koffi-partners.ci,
CABINET_JURIDIQUE,Privé,AHOU Legal,Cabinet boutique droit des technologies,"[Fintech law,Data protection,E-commerce,Blockchain]",,"[avocat,fintech,data]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 07 00 00 00,info@ahou-legal.ci,
CABINET_CONSEIL,International,KPMG Côte d'Ivoire,Cabinet Big Four audit et conseil,"[Audit,Advisory,Tax,Deal advisory,PME services]",,"[audit,conseil,fiscalite]",Côte d'Ivoire,Lagunes,Abidjan,"Immeuble Woodin Center, Plateau",-4.0142,5.3207,+225 20 22 57 53,ci-contact@kpmg.ci,https://kpmg.com/ci
CABINET_CONSEIL,International,PwC Côte d'Ivoire,PricewaterhouseCoopers CI,"[Assurance,Tax,Advisory,Deals,700+ staff]",,"[audit,conseil,fiscalite]",Côte d'Ivoire,Lagunes,Abidjan,Immeuble Crosson-Duplessis,-4.0142,5.3207,+225 20 31 54 00,pwc.ci@pwc.com,https://pwc.com/ci
CABINET_CONSEIL,International,Deloitte Côte d'Ivoire,Cabinet Big Four audit et conseil,"[Audit,Consulting,Risk advisory,Financial advisory,Tax]",,"[audit,conseil,risque]",Côte d'Ivoire,Lagunes,Abidjan,"Boulevard du Gabon, Plateau",-4.0142,5.3207,+225 20 32 28 88,cideloitte@deloitte.ci,https://deloitte.com/ci
CABINET_CONSEIL,International,EY Côte d'Ivoire,Ernst & Young CI,"[Assurance,Tax,Transaction advisory,Consulting,Forensics]",,"[audit,conseil,transaction]",Côte d'Ivoire,Lagunes,Abidjan,"5 Avenue Marchand, Plateau",-4.0142,5.3207,+225 20 33 17 00,ey.cotedivoire@ey.com,https://ey.com/ci
CABINET_CONSEIL,International,Grant Thornton CI,Cabinet audit et conseil international,"[Audit,Tax advisory,Business consulting,Recovery & Reorganisation]",,"[audit,conseil,restructuration]",Côte d'Ivoire,Lagunes,Abidjan,"Immeuble Ollo, Plateau",-4.0142,5.3207,+225 20 30 02 00,info@ci.gt.com,https://grantthornton.ci
CABINET_CONSEIL,Local,MS International,Premier cabinet conseil ivoirien,"[Strategy consulting,Organisation,Change management,UEMOA expertise]",,"[strategie,organisation,conseil]",Côte d'Ivoire,Lagunes,Abidjan,Deux-Plateaux,-3.9872,5.3681,+225 22 52 00 00,contact@m-s-international.com,https://m-s-international.com
CABINET_CONSEIL,Local,HASEL Consulting,Cabinet conseil PME et startups,"[Business plan,Levée de fonds,Stratégie PME,Formation dirigeants]",,"[conseil,pme,strategie]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 07 00 00 00,info@haselconsulting.com,https://haselconsulting.com
CABINET_CONSEIL,International,BDO Côte d'Ivoire,5ème réseau mondial audit et conseil,"[Audit,Tax,Advisory,Outsourcing,IT consulting]",,"[audit,conseil,outsourcing]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 30 00 00,info@bdo.ci,https://bdo.ci
CABINET_CONSEIL,International,Mazars Côte d'Ivoire,Cabinet audit et conseil international,"[Audit,Tax,Financial advisory,Consulting,Accounting]",,"[audit,conseil,comptabilite]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 22 29 29,contact@mazars.ci,https://mazars.ci
CABINET_CONSEIL,Local,Performances Management Consulting,Cabinet conseil en management,"[Organisation,RH,Stratégie,Digital transformation,Change management]",,"[management,rh,transformation]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 22 00 00 00,contact@performances-mc.com,https://performances-mc.com
CABINET_CONSEIL,Local,Afrika Stratégies,Cabinet conseil stratégie et communication,"[Stratégie d'entreprise,Communication,Marketing,Études de marché]",,"[strategie,communication,marketing]",Côte d'Ivoire,Lagunes,Abidjan,Marcory,-3.9920,5.2950,+225 21 00 00 00,contact@afrika-strategies.com,
CABINET_CONSEIL,Local,Bloomfield Investment Corporation,Agence notation et conseil financier,"[Rating UEMOA,Advisory,Research,Risk analysis]",,"[notation,finance,risque]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 21 57 47,info@bloomfield-investment.com,https://bloomfield-investment.com
CABINET_CONSEIL,Local,Phoenix Capital Advisory,Conseil en fusion-acquisition,"[M&A advisory,Valuation,Due diligence,Capital raising]",,"[fusion acquisition,valorisation,conseil]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,advisory@phoenix-capital.ci,
CABINET_CONSEIL,Local,Saracen Partners,Cabinet conseil transformation digitale,"[Digital strategy,IT consulting,Process optimization,Data analytics]",,"[digital,transformation,it]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 07 00 00 00,info@saracen-partners.ci,
CABINET_CONSEIL,Local,Africa Business Consulting,Conseil développement business Afrique,"[Market entry,Partner search,Feasibility studies,Project management]",,"[business development,etudes,projet]",Côte d'Ivoire,Lagunes,Abidjan,Zone 4,-3.9920,5.2950,+225 21 00 00 00,info@abc-consulting.ci,
CABINET_CONSEIL,Local,Nexus Conseils,Cabinet conseil multisectoriel,"[Conseil fiscal,Audit interne,Formation,Accompagnement PME]",,"[fiscal,audit,formation]",Côte d'Ivoire,Lagunes,Abidjan,Riviéra 3,-3.9700,5.3400,+225 22 00 00 00,contact@nexus-conseils.ci,
CABINET_CONSEIL,International,Dalberg Advisors,Conseil en impact et développement,"[Impact strategy,Development consulting,Social innovation,ESG]",,"[impact,developpement,esg]",Côte d'Ivoire,Lagunes,Abidjan,Via bureau Dakar,-4.0305,5.3364,,cotedivoire@dalberg.com,https://dalberg.com
CABINET_CONSEIL,Local,Entrepreneurial Solutions Partners,Solutions entrepreneuriales intégrées,"[Incubation support,Business development,Training,Investment readiness]",,"[entrepreneuriat,formation,investissement]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 07 00 00 00,esp@esp-partners.com,
CABINET_CONSEIL,Local,Afrique Emergence & Investissements,Conseil en investissement et développement,"[Investment advisory,PPP structuring,Project finance,Fundraising]",,"[investissement,ppp,financement]",Côte d'Ivoire,Lagunes,Abidjan,Plateau,-4.0142,5.3207,+225 20 00 00 00,,
CABINET_CONSEIL,International,Roland Berger,Cabinet stratégie allemand,"[Strategy consulting,Restructuring,Digital,Performance improvement]",,"[strategie,restructuration,digital]",Côte d'Ivoire,Lagunes,Abidjan,Via bureau Casablanca,-4.0305,5.3364,,abidjan@rolandberger.com,https://rolandberger.com
AUTORITE_REGULATION,Public,ARTCI,Autorité de Régulation des Télécommunications/TIC,"[Régulation télécoms,Licences télécoms,Cybersécurité,Protection consommateurs]",,"[regulation,telecom,tic]",Côte d'Ivoire,Lagunes,Abidjan,Marcory Anoumanbo,-3.9800,5.3000,+225 27 20 34 43 73,contact@artci.ci,http://www.artci.ci
FISCALITE,Public,DGI - Direction Générale des Impôts,Administration fiscale de Côte d'Ivoire,"[Enregistrement fiscal,E-impôts,Attestation fiscale,Conseil fiscal PME]",,"[fiscal,impots,administration]",Côte d'Ivoire,Lagunes,Abidjan,"Plateau, Rue des Banques",-4.0142,5.3207,+225 27 20 30 80 00,,http://www.dgi.gouv.ci
FISCALITE,Public,Direction Générale des Douanes,Administration douanière de Côte d'Ivoire,"[Dédouanement,Tarifs douaniers,Régimes économiques,GUCE,Certification OEA]",,"[douanes,commerce,import export]",Côte d'Ivoire,Lagunes,Abidjan,"Immeuble la Rotonde, Plateau",-4.0142,5.3207,+225 27 20 21 06 30,,http://www.douanes.ci
ORGANISATION_INTERNATIONALE,Multilatéral,Banque Mondiale,Institution de Bretton Woods,"[PARE-PME 15M USD,LTIF startups,Doing Business,Technical assistance,IFC]",,"[developpement,financement,assistance technique]",Côte d'Ivoire,Lagunes,Abidjan,"01 BP 1850, Deux-Plateaux Cocody",-3.9872,5.3681,+225 27 22 400 400,cotedivoire@worldbank.org,https://worldbank.org/cotedivoire
ORGANISATION_INTERNATIONALE,Multilatéral,IFC - Société Financière Internationale,Branche secteur privé Groupe Banque Mondiale,"[Portfolio 761M USD,Banking facilities,Advisory services,Blended finance]",,"[investissement,secteur prive,conseil]",Côte d'Ivoire,Lagunes,Abidjan,Cocody,-3.9900,5.3500,+225 22 40 04 00,ifc-ci@ifc.org,https://ifc.org
ORGANISATION_INTERNATIONALE,Bilatéral,AFD - Agence Française de Développement,Agence de développement France,"[Choose Africa,Digital Africa,Proparco,Ambition PME,Meet Africa]",,"[developpement,france,financement]",Côte d'Ivoire,Lagunes,Abidjan,"Rue du Dr Jamot, Plateau",-4.0142,5.3207,+225 27 20 30 18 50,afdabidjan@afd.fr,https://www.afd.fr
ORGANISATION_INTERNATIONALE,Bilatéral,GIZ - Coopération Allemande,Agence de coopération technique allemande,"[ProDEC économie,Invest for Jobs,Formation professionnelle,Green economy]",,"[cooperation,allemagne,formation]",Côte d'Ivoire,Lagunes,Abidjan,"II Plateaux, Cocody Ambassades",-3.9850,5.3650,+225 27 22 52 34 00,giz-cotedivoire@giz.de,https://www.giz.de
ORGANISATION_INTERNATIONALE,Fondation Privée,Tony Elumelu Foundation,Fondation entrepreneuriat africain,"[TEF Program,1000 entrepreneurs/an,5000 USD seed,Training,Mentoring]",,"[startups africaines,empowerment,financement seed]",Nigeria,Lagunes,Abidjan,Via online platform,-4.0305,5.3364,,info@tonyelumelufoundation.org,https://tonyelumelufoundation.org
COOPERATION_DIASPORA,UE & Diaspora,MEET Africa,Programme UE pour entrepreneurs diaspora africaine,"[Identification projets,Incubation Europe+Afrique,Subvention 15K EUR,Mentorat]",,"[diaspora,UE,co-développement]",Côte d'Ivoire/Europe,Abidjan/Paris,Abidjan/Paris,Coordination CEPICI/Expertise France,-4.0142,5.3207,,info@meetafrica.fr,https://www.meetafrica.fr
COOPERATION_DIASPORA,Public,Forum de la Diaspora Ivoirienne,Événement institutionnel pour impliquer la diaspora,"[Conférence annuelle,Panels investissements,B2B diaspora,Networking]",,"[diaspora,forum économique,intégration]",Côte d'Ivoire,Yamoussoukro,Yamoussoukro,Hôtel Parlementaire,-5.2728,6.8181,,diaspora@mae.ci,http://www.diasporacotedivoire.org
