institution,institution_type,statut,titre,description,type,pays,regions_ciblees,date_limite_candidature,date_debut,duree,remuneration,nombre_places,secteurs,criteres_eligibilite,contact_email_enrichi,lien_externe,origine_initiative
ONU FEMMES CI,ORGANISATION_INTERNATIONALE,Ouvert,Programme AGRIFED,Soutien aux femmes dans le secteur agricole,FORMATION,Côte d'Ivoire,National,Continu,Jusqu'en 2025,Variable,Formation et équipement,40 000 femmes,AGRICULTURE,"Être une femme résidant en Côte d'Ivoire, active dans le secteur agricole (production, transformation ou commercialisation), motivée à développer ses compétences agricoles, et engagée dans une activité agricole à titre professionnel ou associatif.",contact@onufemmes.ci,unwomen.org,INTERNATIONAL
MEET AFRICA,INCUBATEUR_ACCELERATEUR,Ouvert,Meet Africa,Co-incubation Europe-Afrique pour diaspora,INCUBATION, Côte d'Ivoire,National,Continu,2025,Variable,Subventions seed funding, 142+ projets accompagnés,TOUS_SECTEURS,"Sont éligibles les entrepreneurs issus de la diaspora africaine résidant en France ou en Europe, porteurs de projets innovants ou startups en phase d'amorçage, ayant un lien direct avec le développement économique ou social en Afrique. Le projet doit démontrer un potentiel de croissance et d'impact positif sur les communautés africaines.",contact@meetafrica.org, expertise-france.fr/meet-africa,PRIVE
MIDA,COOPERATION_DIASPORA,Ouvert,Programme MIDA,Migration circulaire et entrepreneuriat diaspora,FINANCEMENT,Côte d'Ivoire,National,Continu,Continu,Variable,Appui création entreprises,Variable,TOUS_SECTEURS,"Être membre de la diaspora ivoirienne, c'est-à-dire un ressortissant ivoirien résidant à l'étranger ou un descendant direct ; avoir un projet entrepreneurial viable ou une volonté de participer à des initiatives de migration circulaire ; être en mesure de présenter un business plan ou une proposition de projet claire ; respecter les conditions spécifiques définies par le programme MIDA.",contact@mida-ci.org,iom.int,INTERNATIONAL
ORANGE DIGITAL,CENTRE_FORMATION,Ouvert,Orange Digital Center Abidjan,École du code gratuite avec certification AWS,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable dont 12 semaines AWS,100% gratuit,Illimité,NUMERIQUE,"La formation s'adresse aux étudiants en informatique ou disciplines connexes, aux jeunes diplômés souhaitant se spécialiser en développement et cloud, ainsi qu'aux jeunes déscolarisés motivés par une reconversion dans le secteur numérique. Aucune expérience préalable n'est exigée, mais une bonne maîtrise du français et une appétence pour les technologies digitales sont recommandées.",contact@orangedigitalcenter.ci,orangedigitalcenters.com,PRIVE
SIMPLON CI,CENTRE_FORMATION,Ouvert,Simplon Côte d'Ivoire,Formation intensive développeur web/mobile,FORMATION,Côte d'Ivoire,National,Continu,Continu,6 mois,Formation gratuite financée,Variable,NUMERIQUE,"La formation est ouverte aux jeunes âgés de 18 à 35 ans, résidant en Côte d'Ivoire, ayant un intérêt marqué pour le développement informatique, et souhaitant s'engager dans une formation intensive. Aucun prérequis académique spécifique n'est exigé, mais une bonne maîtrise des bases de l'informatique est un plus.",contact@simplon.ci,simplon.ci,PRIVE
GDG ABIDJAN,CENTRE_FORMATION,Ouvert,Google Developer Groups Abidjan,Formations Google Cloud et certifications,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,3 mois gratuits Google Cloud Skills Boost,Illimité,NUMERIQUE,"Cette formation s'adresse principalement aux développeurs professionnels, aux étudiants en informatique ou disciplines connexes, ainsi qu'aux passionnés de technologie souhaitant se spécialiser dans les solutions Google Cloud. Une connaissance de base en programmation et en concepts cloud est recommandée pour tirer pleinement parti des sessions.",contact@gdgabidjan.com,gdg.community.dev,PRIVE
10000 CODEURS,CENTRE_FORMATION,Ouvert,Programme 10000 Codeurs,Formation en 65+ métiers du numérique,FORMATION,Côte d'Ivoire,National,Continu,2025,9 mois (9h/semaine),Passeport Numérique gratuit,1500 développeurs/pays,NUMERIQUE,"Ouvert à toute personne majeure ou mineure émancipée, sans condition de diplôme ni d'expérience préalable, avec un intérêt marqué pour les technologies numériques et la volonté d'apprendre un métier du digital. Une motivation forte et un engagement dans le parcours de formation sont nécessaires.",contact@10000codeurs.fr,10000codeurs.com,PRIVE
AWS RESTART,CENTRE_FORMATION,Ouvert,AWS re/Start,Formation AWS avec certification Cloud Practitioner,FORMATION, Côte d'Ivoire,National,Continu,Continu,12 semaines,Formation gratuite + certification,Variable,NUMERIQUE,"Être résident en France, avoir un niveau de base en informatique ou une forte motivation pour apprendre le cloud computing, être inscrit via Orange Digital Center, et être disponible pour suivre la formation à temps plein pendant plusieurs semaines. Aucun prérequis technique avancé n'est nécessaire, mais une bonne maîtrise du français est recommandée.",contact@orangedigitalcenter.fr,aws.amazon.com,PRIVE
AFRICA CODE WEEK,CENTRE_FORMATION,Ouvert,Africa Code Week CI,Formation programmation pour jeunes,FORMATION,Côte d'Ivoire,National,Octobre 2025,Octobre 2025,1 semaine,Gratuit,40 000 jeunes CI,NUMERIQUE,"Jeunes âgés de 8 à 40 ans résidant en Côte d'Ivoire, intéressés par l'apprentissage de la programmation, sans prérequis technique nécessaire. Les formations sont ouvertes aux étudiants, jeunes professionnels, et toute personne souhaitant développer ses compétences en codage.",contact@africacodeweek.org,africacodeweek.org,PRIVE
HACKATHON MASS,HUB_INNOVATION,À venir,Hackathon pré-MASS 2025,Hackathon TIC et observation de la terre,CONCOURS,Côte d'Ivoire,National,14/04/2025,06-08/05/2025,3 jours,Fonds 500M FCFA pour startups spatiales,Variable,NUMERIQUE;ENVIRONNEMENT,"Le concours est ouvert aux étudiants de niveau licence à master, aux développeurs indépendants, aux startups innovantes ainsi qu'aux passionnés de technologies ayant des compétences en programmation, data science, géomatique ou domaines connexes. La participation peut être individuelle ou en équipe de 2 à 5 personnes. Une motivation pour les problématiques liées à l'observation de la Terre et aux TIC est fortement recommandée.",contact@hackathonmass.org,mass.ci,PRIVE
SIADE,HUB_INNOVATION,À venir,SIADE 2025 Hackathon,"Hackathon IA, Défense, Espace",CONCOURS,Côte d'Ivoire,National,Février 2025,20-21/02/2025,2 jours,Prix à déterminer,Variable,NUMERIQUE;SECURITE,"Peuvent participer les développeurs individuels, équipes de développeurs, startups technologiques innovantes spécialisées dans l'IA, la défense ou le spatial, ainsi que les étudiants en informatique ou disciplines connexes. Une expérience préalable en programmation, intelligence artificielle ou développement de solutions technologiques est recommandée. La participation est ouverte aux candidats majeurs et résidant en France ou dans l'Union européenne.",contact@siaade2025.fr,siade.ci,PUBLIC
CGECI BPC,ASSOCIATION_ENTREPRENEURIALE,Ouvert,CGECI Business Plan Competition 2025,Concours business plan avec prix sectoriels,CONCOURS,Côte d'Ivoire,National,Septembre 2025,22-23/09/2025,2 jours,Plus de 300M FCFA depuis 2014,Variable,TOUS_SECTEURS,"Le concours s'adresse aux jeunes entrepreneurs âgés de 18 à 35 ans, ainsi qu'aux étudiants inscrits dans des universités ou établissements d'enseignement supérieur en Côte d'Ivoire. Les participants doivent présenter un projet innovant et réalisable, avec un business plan complet. Les équipes peuvent être composées de plusieurs membres, mais un porteur de projet principal doit être identifié. Les projets peuvent couvrir différents secteurs tels que l'agriculture, les technologies de l'information, l'industrie, les services, et l'énergie.",contact@cgeci-bpc.ci,cgeci.com,PRIVE
PRIX CASTEL,ASSOCIATION_ENTREPRENEURIALE,Ouvert,Prix Pierre Castel 2025,Prix pour projets agricoles et agroalimentaires,CONCOURS,Côte d'Ivoire,National,2025,2025,Annuel,25 000 euros par pays + 35 000 euros super lauréat,Variable,AGRICULTURE,"Le concours s'adresse aux jeunes entrepreneurs âgés de 18 à 40 ans, porteurs de projets agricoles ou agroalimentaires en phase de démarrage ou d'expansion. Les projets doivent être localisés dans les pays d'Afrique subsaharienne où le Groupe Castel est présent. Les candidats doivent démontrer l'innovation, la viabilité économique, et l'impact social ou environnemental de leur initiative.",prix.caste@fondationcastel.org,fondationpierrecastel.org,PRIVE
ORANGE POESAM,INCUBATEUR_ACCELERATEUR,Ouvert,Orange Social Venture Prize 2025,Prix pour startups à impact social et environnemental,CONCOURS,Côte d'Ivoire,National,2025,2025,Annuel,20 000 euros prix international femmes,3 projets max/pays,IMPACT_SOCIAL;ENVIRONNEMENT,"Peuvent candidater des startups en phase d'amorçage ou de développement, qu'elles soient technologiques ou traditionnelles, dont l'activité principale a un impact social ou environnemental positif clairement démontré. Les projets doivent être basés en France ou dans les pays où Orange est implanté, avoir une équipe opérationnelle, et présenter un modèle économique viable. Les candidatures sont ouvertes aux startups de tous secteurs, à condition que leur solution ait un effet mesurable sur la société ou l'environnement.",socialventure@orange.com,orange.com,PRIVE
SARA,AGENCE_PROMOTION,À venir,SARA 2025,Salon International de l'Agriculture avec financements jeunes,EVENEMENT,Côte d'Ivoire,National,Mai 2025,23/05-01/06/2025,10 jours,1.5 milliards FCFA pour jeunes projets agricoles, Variable,AGRICULTURE,"Peuvent participer les jeunes entrepreneurs agricoles âgés de 18 à 40 ans, porteurs de projets innovants ou en activité dans le secteur agricole, souhaitant bénéficier d'un accompagnement financier ou d'opportunités de réseautage. Les candidats doivent présenter un projet viable et durable dans l'agriculture, l'agroalimentaire ou les technologies associées.",contact@sara2025.com,sara.ci,PUBLIC
IVOIRE TECH FORUM,HUB_INNOVATION,À venir,Ivoire Tech Forum 2025,Forum tech avec village startup et concours pitch,EVENEMENT,Côte d'Ivoire,National,Juillet 2025,09-11/07/2025,3 jours,Variable selon concours,50+ startups village,NUMERIQUE,"Sont éligibles les entrepreneurs et porteurs de projets dans le secteur des technologies de l'information et de la communication, résidant en Côte d'Ivoire ou dans la région Afrique de l'Ouest, disposant d'une startup en phase de démarrage ou de développement, et souhaitant présenter leur projet lors du concours de pitch ou exposer dans le village startup.",contact@ivoiretechforum.ci,ivoiretechforum.com,PUBLIC
GOLDEN IMPACT,ASSOCIATION_ENTREPRENEURIALE,À venir,Golden Impact Forum 2025,Forum stratégie pour booster jeunes entreprises,EVENEMENT,Côte d'Ivoire,National,14/06/2025,14/06/2025,1 jour,Networking et opportunités,Illimité,TOUS_SECTEURS,"Jeunes entrepreneurs âgés de 18 à 35 ans, porteurs de projets ou dirigeants de startups en phase de lancement ou de développement, ainsi que les institutions soutenant l'innovation et l'entrepreneuriat.",contact@goldenimpact.org,goldenimpactforum.ci,PRIVE
FEEF,ASSOCIATION_ENTREPRENEURIALE,À venir,Forum Emploi Entrepreneuriat Féminin 2025,11e édition forum entrepreneuriat féminin,EVENEMENT,Côte d'Ivoire,National,16-17/05/2025,16-17/05/2025,2 jours,Gratuit,25 000+ participantes historique,TOUS_SECTEURS,"Cet événement s'adresse exclusivement aux femmes entrepreneures, qu'elles soient en phase de création, de développement ou de consolidation de leur entreprise. Sont également éligibles les porteuses de projets entrepreneuriaux féminins et les professionnelles souhaitant s'informer ou s'engager dans l'entrepreneuriat féminin.",contact@feef2025.org,feef.ci,PRIVE
MISS 2.0,ASSOCIATION_ENTREPRENEURIALE,Ouvert,Concours Miss 2.0,Concours entrepreneuriat féminin avec prix importants,CONCOURS,Côte d'Ivoire,National,2025,2025,Annuel,19M FCFA total (5M FCFA Miss et 1ère dauphine), 10 finalistes,TOUS_SECTEURS,"Femmes entrepreneures âgées de 18 à 35 ans, porteuses d'un projet entrepreneurial innovant ou dirigeantes d'une startup en phase de développement, résidant dans le pays organisateur. Les candidates doivent présenter un dossier complet incluant un business plan et une lettre de motivation.",contact@miss2-0.org,agenceemploijeunes.ci,PRIVE
HEC,INCUBATEUR_ACCELERATEUR,À venir,HEC Challenge+ Demo Day 2025,Demo day projets incubés HEC,EVENEMENT,Côte d'Ivoire,National,10/07/2025,10/07/2025,1 jour,Visibilité et networking,Variable,TOUS_SECTEURS,"Peuvent participer au Demo Day uniquement les projets ayant été sélectionnés et incubés dans le cadre du programme HEC Challenge+ pour l'année 2025. Les projets doivent démontrer un fort potentiel d'innovation, une viabilité économique et avoir suivi les différentes étapes d'accompagnement du programme.",challengeplus@hec.fr,hec.fr,PRIVE
FIJE,ASSOCIATION_ENTREPRENEURIALE,À venir,Forum International Jeunesse Entrepreneuriat 2025,Forum sur ZLECAf et opportunités jeunes,EVENEMENT,Côte d'Ivoire,National,12/08/2025,12/08/2025,1 jour,Gratuit,100 jeunes entrepreneurs,COMMERCE,"Jeunes entrepreneurs âgés de 18 à 40 ans, membres actifs ou candidats au Club FIGE, ayant un projet entrepreneurial innovant ou une entreprise en phase de développement, résidant dans un pays membre de la ZLECAf, et démontrant un intérêt marqué pour les opportunités offertes par la zone de libre-échange africaine.",contact@fije2025.org,zlecaf.ci,PRIVE
AEJ,MINISTERE_AGENCE,Ouvert,Programme THIMO,Travaux à haute intensité de main d'œuvre,ASSISTANCE_TECHNIQUE,Côte d'Ivoire,National,Continu,Continu,Variable,Rémunération chantiers BTP,8825 jeunes employés,CONSTRUCTION,"Jeunes âgés de 18 à 35 ans, organisés en coopératives ou groupes structurés, résidant dans la région ciblée par le programme, motivés à s'engager dans des activités génératrices de revenus nécessitant une forte implication manuelle. Les coopératives doivent être officiellement enregistrées ou en cours de formalisation.",contact@aejthimo.org,agenceemploijeunes.ci,PUBLIC
AEJ,MINISTERE_AGENCE,Ouvert,Opération Agir pour les Jeunes,Programme création emplois et AGR,FINANCEMENT,Côte d'Ivoire,10 régions,Continu,2025,Variable,1.05 milliard FCFA budget total,2100 emplois créés,TOUS_SECTEURS,"Les candidats doivent être âgés de 18 à 35 ans, résider dans la zone géographique couverte par AEJ AGIR, et présenter un projet d'Activité Génératrice de Revenus (AGR) viable et innovant. Le projet doit démontrer un potentiel de création d'emploi durable et contribuer au développement économique local. Les jeunes sans emploi ou en situation précaire sont prioritaires. Une présentation claire du plan d'affaires et des projections financières est requise pour l'évaluation.",contact@aejagir.org,agenceemploijeunes.ci,PUBLIC
IFC PME,BANQUE_DEVELOPPEMENT,Ouvert,Programme Financement PME IFC,Facilité de partage des risques pour PME,FINANCEMENT,Côte d'Ivoire,National,Continu,Jusqu'en 2028,Variable,40M USD facilité (30% femmes),2100 prêts PME prévus,TOUS_SECTEURS,"Les PME doivent être légalement établies dans un pays éligible, avoir une taille correspondant à la définition locale des PME, et démontrer une gestion financière saine. Au moins 30% des PME bénéficiaires doivent être dirigées ou co-dirigées par des femmes. Les entreprises doivent également opérer dans des secteurs prioritaires définis par l'IFC et être capables de fournir des états financiers vérifiés.",pme.financement@ifc.org,ifc.org,INTERNATIONAL
CIPME,INCUBATEUR_ACCELERATEUR,Ouvert,Agence Côte d'Ivoire PME,Incubation express et accompagnement PME,INCUBATION,Côte d'Ivoire,National,Continu,Continu,Variable,Accompagnement technique gratuit,Variable,TOUS_SECTEURS,"Peuvent candidater les PME et startups légalement enregistrées en Côte d'Ivoire, ayant un projet innovant ou à fort potentiel de croissance, avec une équipe engagée et un modèle économique viable. Les entreprises en phase de création ou de développement sont privilégiées.",contact@cipme.ci,cipme.ci,PRIVE
CEPICI,GUICHET_UNIQUE,Ouvert,Guichet Unique CEPICI,Création entreprise en 48h et accompagnement,ASSISTANCE_TECHNIQUE,Côte d'Ivoire,National,Continu,Continu,48h création,Services administratifs,Illimité,TOUS_SECTEURS,"Ouvert à tous les entrepreneurs, qu'ils soient nationaux ou étrangers, souhaitant créer une entreprise en Côte d'Ivoire. Les porteurs de projets doivent fournir les documents requis tels que pièce d'identité, justificatif de domicile, et un plan d'affaires sommaire si nécessaire.",contact@cepici.gouv.ci,cepici.gouv.ci,PUBLIC
FIPME,CENTRE_FORMATION,Ouvert,Programmes Formation FIPME,Formation et requalification jeunes avec partenaires,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,Formation gratuite,Variable selon programme,TOUS_SECTEURS,"Jeunes âgés de 16 à 35 ans, résidant dans la région concernée, sans emploi ou en reconversion professionnelle, motivés à suivre une formation qualifiante. Une priorité est donnée aux jeunes peu ou pas diplômés, ainsi qu'aux bénéficiaires de minima sociaux ou en situation de précarité.",contact@fipme.org,fipme.ci,PUBLIC
ANSUT,MINISTERE_AGENCE,Ouvert,ANSUT Connect 2025,Formation transformation numérique,FORMATION,Côte d'Ivoire,National,Continu,2025,Variable,Gratuit,Variable,NUMERIQUE,"Jeunes âgés de 18 à 30 ans, résidant en Tunisie, ayant un intérêt marqué pour les technologies numériques, l'informatique ou les métiers du digital. Aucune expérience préalable n'est requise, mais une motivation forte et un engagement dans la formation sont indispensables.",contact@ansut.tn,ansut.ci,PUBLIC
E2C,CENTRE_FORMATION,Ouvert,École de la Deuxième Chance,Formation de masse pour jeunes mal insérés,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,Formation gratuite,Formation de masse,TOUS_SECTEURS,"Jeunes âgés de 16 à 25 ans, résidant en France, sans emploi, sans diplôme ni qualification professionnelle, rencontrant des difficultés d'insertion sociale et professionnelle, motivés pour s'engager dans un parcours de formation et d'accompagnement personnalisé.",contact@e2c.fr,formation-professionnelle.gouv.ci,PUBLIC
LAFIGUE,CENTRE_FORMATION,Ouvert,Programme Employabilité Lafigue,Formation mine et BTP pour jeunes locaux,FORMATION,Côte d'Ivoire,Katiola et Dabakala,Continu,2025,Variable,145M FCFA budget,150 jeunes,RESSOURCES;CONSTRUCTION,"Jeunes âgés de 16 à 35 ans, résidant dans les communes de Katiola et Dabakala, motivés à intégrer les secteurs de la mine et du BTP, avec un niveau scolaire minimum de classe de troisième ou équivalent. Une motivation pour le travail manuel et la capacité à suivre une formation intensive sont également requises.",contact@lafigueformation.ci,endeavourmining.com,PUBLIC
PHOENIX,CENTRE_FORMATION,Ouvert,Programme Phoenix PME,Amélioration employabilité jeunes,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,Formation et financement,Variable,TOUS_SECTEURS,"Jeunes résidents en France âgés de 18 à 40 ans, sans emploi ou en recherche d'amélioration de leurs compétences professionnelles, motivés à s'engager dans une formation de plusieurs semaines. Priorité donnée aux personnes issues de milieux défavorisés ou aux demandeurs d'emploi de longue durée.",contact@phoenix-pme.fr,cipme.ci,PUBLIC
CME,CENTRE_FORMATION,Ouvert,Centre Métiers Électricité,Formation énergies renouvelables et efficacité énergétique,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable selon formation,Certifications BTS/Licence pro,Variable,ENERGIE,"La formation s'adresse aux étudiants titulaires d'un diplôme de niveau Bac ou équivalent, ainsi qu'aux professionnels du secteur de l'électricité, de la maintenance industrielle ou de la gestion énergétique souhaitant se spécialiser ou se reconvertir dans les énergies renouvelables.",contact@cme-formation.fr,cme-ci.com,PUBLIC
ANDELA,CENTRE_FORMATION,Ouvert,Andela Learning Community,"Formations cloud native, IA, React.js",FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,Accès réseau 150 000+ pros,Variable,NUMERIQUE,"Cette formation s'adresse principalement aux développeurs débutants à intermédiaires, aux ingénieurs logiciels, ainsi qu'aux professionnels de la tech souhaitant renforcer leurs compétences dans les domaines du cloud computing, de l'intelligence artificielle et du développement web. Une connaissance de base en programmation est recommandée. Les candidats doivent être motivés à apprendre et à participer activement aux sessions proposées.",learning.community@andela.com,andela.com,PRIVE
PROFERE,CENTRE_FORMATION,Ouvert,Programme ProFERE GIZ,Formation professionnelle énergies renouvelables,FORMATION,Côte d'Ivoire,National,Continu,Continu,Variable,Formation gratuite,400+ experts formés,ENERGIE,"La formation s'adresse aux professionnels travaillant dans le secteur de l'énergie, incluant les ingénieurs, techniciens, gestionnaires de projets, ainsi que les décideurs impliqués dans les politiques énergétiques. Les candidats doivent justifier d'une expérience préalable dans le domaine de l'énergie ou des énergies renouvelables, et démontrer un intérêt pour le développement durable et les technologies propres.",contact@profere-giz.org,giz.de,PUBLIC
PRO JEUNES,CENTRE_FORMATION,Ouvert,PRO-Jeunes USAID,Formation femmes secteur énergétique,FORMATION,Côte d'Ivoire,National,Continu,2025,Variable,1.4M USD budget,750 jeunes femmes,ENERGIE,"Femmes âgées de 18 à 35 ans, résidant dans la région ciblée par PRO JEUNES, ayant un niveau d'études minimum équivalent au secondaire ou une expérience professionnelle dans un domaine lié à l'énergie est un plus. Les candidates doivent être motivées à s'engager dans une formation intensive et disponibles pour toute la durée du programme.",contact@projeunes.org,usaid.gov,INTERNATIONAL
OIF,CENTRE_FORMATION,Ouvert,Programme D-CLIC,Formation numérique pour femmes francophones,FORMATION,Côte d'Ivoire,National,Continu,2025,Variable,Formation gratuite,100 femmes CI,NUMERIQUE,"Être une femme francophone âgée de 18 à 35 ans, résidant dans un pays membre de l'Organisation Internationale de la Francophonie (OIF), avec un intérêt pour le numérique et la volonté de développer des compétences dans ce domaine. Aucun prérequis technique spécifique n'est nécessaire, mais une motivation forte est recommandée.",contact@d-clic-oif.org,francophonie.org,INTERNATIONAL
OIF,ASSOCIATION_ENTREPRENEURIALE,Ouvert,Prix Jeune Entrepreneur Francophone,Concours annuel entrepreneurs francophones,CONCOURS,Côte d'Ivoire,National,Annuel,2025,Annuel,Financement + accompagnement,Variable,TOUS_SECTEURS,"Être âgé de 18 à 35 ans au moment de la candidature, être porteur d'un projet entrepreneurial innovant ou dirigeant une jeune entreprise innovante dans un pays francophone ou à vocation francophone. Le projet doit valoriser la langue française et contribuer positivement au développement économique, social ou environnemental. Les candidats doivent soumettre un dossier complet incluant une description détaillée du projet, un plan d'affaires et des preuves de faisabilité.",jeunentrepreneur@oif.org,francophonie.org,INTERNATIONAL
BIT,CENTRE_FORMATION,Ouvert,Projet Formalisation BIT,Formation formalisation entreprises secteur informel,FORMATION,Côte d'Ivoire,National,Continu,2025,Variable,Formation gratuite,Variable,TOUS_SECTEURS,"La formation s'adresse aux entrepreneurs et micro-entrepreneurs opérant dans le secteur informel, souhaitant formaliser leur activité. Les participants doivent être âgés de 18 ans ou plus, résider dans la région ciblée par le programme, et être motivés à entreprendre les démarches de formalisation de leur entreprise.",contact@bitformalisation.org,ilo.org,INTERNATIONAL
RESILIENCE PEACE,MINISTERE_AGENCE,Ouvert,Programme Resilience for Peace USAID,Renforcement résilience et opportunités économiques zones Nord,FINANCEMENT,Côte d'Ivoire,Zones Nord frontalières,Continu,2025-2030,5 ans,20M+ USD budget,Variable,TOUS_SECTEURS,"Ce programme s'adresse principalement aux jeunes âgés de 18 à 35 ans résidant dans les régions du Nord, notamment ceux issus de communautés vulnérables ou affectées par des conflits. Les candidats doivent démontrer un engagement envers des initiatives économiques ou sociales locales et être en mesure de participer activement aux activités de renforcement de la résilience.",contact@resiliencepeace.org,usaid.gov,INTERNATIONAL
"Ministère de la Promotion de la Jeunesse, de l'Insertion Professionnelle et du Service Civique",MINISTERE_AGENCE,Ouvert,Programme Jeunesse du Gouvernement (PJGouv) 2023-2025,"Programme triennal d'autonomisation des jeunes par l'entrepreneuriat, la formation et le financement avec un budget de 1118 milliards FCFA sur 3 ans",FINANCEMENT,Côte d'Ivoire,National,Continu,2023,3 ans,350.2 milliards FCFA pour 2025,1.5 million de jeunes,Agriculture;Technologie;Commerce;Tous secteurs,"Jeunes 18-35 ans, citoyens ivoiriens",info@jeunesse.gouv.ci,www.jeunesse.gouv.ci,PUBLIC
Agence Emploi Jeunes (AEJ),MINISTERE_AGENCE,Ouvert,Plateforme de Financement AEJ,Financement de projets entrepreneuriaux pour jeunes avec accompagnement et formation,FINANCEMENT,Côte d'Ivoire,National,Continu,2015,Permanent,Variable selon projets,Illimité,Commerce;Services;Artisanat;Agriculture,"Jeunes 18-35 ans, projet viable, formation requise",contact@agenceemploijeunes.ci,www.emploi.jeunes.ci,PUBLIC
Agence Emploi Jeunes (AEJ),MINISTERE_AGENCE,Ouvert,Programme Enable Youth - Agribusiness,Programme de financement et formation pour jeunes dans l'agribusiness avec la BAD,FORMATION,Côte d'Ivoire,National,Continu,2024,2 ans,500+ millions FCFA pour 20 jeunes pilotes,20+ jeunes entrepreneurs,Agriculture;Agribusiness,"Jeunes 18-35 ans, projet agricole viable",contact@agenceemploijeunes.ci,www.emploi.jeunes.ci,PUBLIC
Agence Emploi Jeunes (AEJ),MINISTERE_AGENCE,Ouvert,Initiative Startup Boost Capital,Fonds de financement pour startups technologiques et innovantes,FINANCEMENT,Côte d'Ivoire,National,Continu,2025,Permanent,50 millions FCFA max par projet,20+ startups,Technologies;Innovation;Numérique,"Entreprises numériques et technologiques, jeunes entrepreneurs",contact@agenceemploijeunes.ci,www.emploi.jeunes.ci,PUBLIC
Ministère de la Promotion des PME et de l'Artisanat,MINISTERE_AGENCE,Ouvert,Guichet Unique de Développement des PME (GUDE-PME),Programme d'accompagnement et financement des PME avec appui de l'AFD,INCUBATION,Côte d'Ivoire,National,Continu,2022,5 ans,52.476 milliards FCFA AFD + 160 milliards sur 5 ans,8000 PME en 2025,Tous secteurs PME,"PME ivoiriennes, 2 ans d'existence minimum",contact@gudepme.ci,www.pme.gouv.ci,PUBLIC
Ministère de la Promotion des PME et de l'Artisanat,MINISTERE_AGENCE,Ouvert,Programme PEPITE 2030,Programme d'incubation et financement pour transformer PME en champions nationaux,INCUBATION,Côte d'Ivoire,National,Continu,2021,10 ans,Variable selon projets,150 entreprises par an,15 pôles sectoriels stratégiques,"PME avec potentiel de croissance, secteurs prioritaires",contact@pme.gouv.ci,www.pme.gouv.ci,PUBLIC
Société de Garantie des PME (SGPME),MINISTERE_AGENCE,Ouvert,Société de Garantie des PME,Garantie des crédits PME auprès des banques avec capital de 10 milliards FCFA,SUBVENTION/FINANCEMENT,Côte d'Ivoire,National,Continu,2022,Permanent,10 milliards FCFA capital État,1773+ entreprises accompagnées,Tous secteurs PME,PME avec besoin de garantie bancaire,contact@sgpme.ci,www.sgpme.ci,PUBLIC
Ministère de l'Agriculture et du Développement Rural,MINISTERE_AGENCE,Ouvert,Guichet de Financement SARA 2025,Financement de projets agricoles jeunes avec 90% de financement pour projets jusqu'à 54 millions FCFA,FINANCEMENT,Côte d'Ivoire,National,31/12/2025,Mai 2025,8 mois,3.782 milliards FCFA total,1460 jeunes porteurs,Riziculture;Aquaculture;Aviculture;Transformation agroalimentaire,"Jeunes entrepreneurs agricoles, projets 0-54 millions FCFA",contact@sara.ci,www.agriculture.gouv.ci,PUBLIC
Ministère de l'Agriculture et du Développement Rural,MINISTERE_AGENCE,Ouvert,PNIA II - Programme National d'Investissement Agricole,Programme national de développement agricole durable et compétitif,FORMATION,Côte d'Ivoire,National,Continu,2017,8 ans,11905 milliards FCFA total,600000+ exploitants,Agriculture durable;Chaînes de valeurs;Modernisation agricole,"Exploitants agricoles, coopératives, PME agricoles",info@agriculture.gouv.ci,www.agriculture.gouv.ci,PUBLIC
Ministère de l'Agriculture / Banque Mondiale,MINISTERE_AGENCE,Ouvert,PDC2V - Projet de Développement des Chaînes de Valeurs Vivrières,"Développement des filières manioc, horticulture et aquaculture avec financement Banque Mondiale",FORMATION,Côte d'Ivoire,6 agropôles,Continu,2024,3 ans,160 milliards FCFA,600000 exploitants + 150 PME + 400 microentreprises,Manioc;Horticulture;Aquaculture,"Petits exploitants (50% femmes), PME, microentreprises",contact@pdc2v.ci,www.pdc2v.ci,PUBLIC
ANADER,MINISTERE_AGENCE,Ouvert,Programme de Travail et Budget Annuel (PTBA) 2025,Programme de conseil agricole et appui au développement rural,FORMATION,Côte d'Ivoire,National,Continu,Janvier 2025,1 an,Budget opérationnel annuel,90000+ exploitants,Maïs;Maraîchage;Élevage;Toutes filières agricoles,"Exploitants agricoles, groupements, coopératives",contact@anader.ci,www.anader.ci,PUBLIC
Ministère de l'Environnement et du Développement Durable,MINISTERE_AGENCE,Ouvert,Coordination Générale des Programmes et Projets (CGPP),"5 programmes nationaux: changements climatiques, gestion déchets, produits chimiques, ressources naturelles, environnement côtier",FORMATION,Côte d'Ivoire,National,Continu,2025,Permanent,Budget ministériel,Variable selon programmes,Économie verte;Gestion déchets;Ressources naturelles,"Entrepreneurs verts, projets durables",CGPP@environnement.gouv.ci,www.environnement.gouv.ci,PUBLIC
